action_type,cusip,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
cash_dividend,,2016-02-11,False,2fa0cfb8-61d6-43c5-9832-e87642b49bb9,,2016-02-11,0.3,,cash_dividends,False,ADM
cash_dividend,,2016-05-16,False,5671e539-8ada-41a4-bcf9-915165e6ada7,,2016-05-16,0.3,,cash_dividends,False,ADM
cash_dividend,,2016-08-15,False,0ac47ca3-d066-4494-b117-d34338d07ce0,,2016-08-15,0.3,,cash_dividends,False,ADM
cash_dividend,,2016-11-14,False,4a045d6c-5ae5-421b-9b4f-c7123b206424,,2016-11-14,0.3,,cash_dividends,False,ADM
cash_dividend,,2017-02-16,False,f38cb5ed-64c0-4aef-b3ae-a2a580e9b7c8,,2017-02-16,0.32,,cash_dividends,False,ADM
cash_dividend,,2017-05-16,False,7df2a8ae-46d5-416b-86a6-ff4b9527099f,,2017-05-16,0.32,,cash_dividends,False,ADM
cash_dividend,,2017-08-15,False,accc6288-19c3-42dd-ae8b-2f595ee2067c,,2017-08-15,0.32,,cash_dividends,False,ADM
cash_dividend,,2017-11-15,False,d29abf79-0571-4bdf-a557-3ab8a412a866,,2017-11-15,0.32,,cash_dividends,False,ADM
cash_dividend,,2018-02-16,False,c27f763d-c039-4f41-adda-00949015dcc6,,2018-02-16,0.335,,cash_dividends,False,ADM
cash_dividend,,2018-05-16,False,8d3f345d-b5fd-4e62-90e6-6fcc733f9762,,2018-05-16,0.335,,cash_dividends,False,ADM
cash_dividend,,2018-08-15,False,3391823a-bb16-4b4c-acac-fc68ed819a96,,2018-08-15,0.335,,cash_dividends,False,ADM
cash_dividend,,2018-11-21,False,a2a6e3f7-b698-436b-ad3d-85f20d01b4eb,,2018-11-21,0.335,,cash_dividends,False,ADM
cash_dividend,,2019-02-15,False,67dd2d0d-a6c5-4509-aecc-fe3879456419,,2019-02-15,0.35,,cash_dividends,False,ADM
cash_dividend,,2019-05-14,False,4a61d40b-0ee7-4ab1-a716-e0d0de8f47f1,,2019-05-14,0.35,,cash_dividends,False,ADM
