acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cusip,due_bill_redemption_date,effective_date,ex_date,foreign,id,new_rate,old_rate,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,,,,2016-03-16,False,adf180f3-eff9-4c2c-b3b0-1b6134bd43d0,,,,2016-03-16,0.49,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2016-06-15,False,9c3090c3-f246-422a-a61e-d991457eaab5,,,,2016-06-15,0.5,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2016-09-15,False,72492a5c-da99-49f9-a837-bcc29a76dfde,,,,2016-09-15,0.51,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2016-12-14,False,8a9e6104-5311-448f-aa9e-f915a97a3644,,,,2016-12-14,1.02,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2017-03-16,False,f7bce3f5-3606-470b-a16a-15b5897e0c60,,,,2017-03-16,1.02,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2017-06-15,False,6f712ed7-63d9-4804-8035-cc77117f5a01,,,,2017-06-15,1.02,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2017-09-18,False,d7b3a03c-9317-445c-89da-fd98843d3947,,,,2017-09-18,1.02,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2017-12-18,False,b3d26840-c197-41f5-bb30-df9a8573a480,,,,2017-12-18,1.75,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2018-03-21,False,29b8b59d-a9e6-4bb1-999a-f8e50fd31562,,,,2018-03-21,1.75,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2018-06-19,False,4d2c976b-a440-4434-b163-73a6e49c9299,,,,2018-06-19,1.75,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2018-09-18,False,199e0e5d-af55-47d9-bd57-2b8b3ca5f930,,,,2018-09-18,1.75,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2018-12-18,False,a531ecf6-f263-4a53-8f6c-065bcae121bb,,,,2018-12-18,2.65,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2019-03-20,False,957232d7-80f5-4d60-aa56-1f29b0090a40,,,,2019-03-20,2.65,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2019-06-21,False,91a77aa4-908d-4d0e-80a8-6e3f81290d23,,,,2019-06-21,2.65,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2019-09-20,False,ed9964a3-7bd7-4875-b823-dc5e53e637ad,,,,2019-09-20,2.65,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2019-12-20,False,9ac680c6-5b13-42c7-bceb-936fe476691c,,,,2019-12-20,3.25,,cash_dividends,False,AVGO
,,,,,,cash_dividend,,,,2020-03-20,False,364c5e29-1b34-408b-be46-8d5abd99eba0,,,,2020-03-20,3.25,,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2020-06-19,False,57779108-6400-4292-a08d-91ceebd1b709,,,2020-06-30,2020-06-30,3.25,2020-06-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2020-09-21,False,75127699-fac3-4931-89f4-2754b80931d7,,,2020-09-30,2020-09-30,3.25,2020-09-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2020-12-18,False,bdf5acc8-7e84-4729-802c-93c52b99136a,,,2020-12-31,2020-12-31,3.6,2020-12-21,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2021-03-19,False,eeb720fc-973f-4b13-9890-c5005be2fc6d,,,2021-03-31,2021-03-31,3.6,2021-03-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2021-06-21,False,86052c23-254d-4bda-99de-4290678f0970,,,2021-06-30,2021-06-30,3.6,2021-06-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2021-09-21,False,07d8ccfd-11eb-4ab3-819d-c9d93b272c1d,,,2021-09-30,2021-09-30,3.6,2021-09-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2021-12-21,False,c458c830-c2ee-47e5-8d60-f7fb82243d70,,,2021-12-31,2021-12-31,4.1,2021-12-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2022-03-21,False,be7562ef-825b-4bd5-aabf-3c0e51a29df7,,,2022-03-31,2022-03-31,4.1,2022-03-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2022-06-21,False,45746f89-f356-41d1-a3a5-619f480fae03,,,2022-06-30,2022-06-30,4.1,2022-06-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2022-09-21,False,08fd018b-d0b7-4332-87c1-969aef662301,,,2022-09-30,2022-09-30,4.1,2022-09-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2022-12-19,False,f2d71d45-0a86-4351-8fe8-0a91d05d80ec,,,2022-12-30,2022-12-30,4.6,2022-12-20,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2023-03-21,False,224674cc-b9f5-4462-91ac-ed75698ae002,,,2023-03-31,2023-03-31,4.6,2023-03-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2023-06-21,False,1b965f55-6a76-4591-92ed-bb2561351bb2,,,2023-06-30,2023-06-30,4.6,2023-06-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2023-09-20,False,fb5afb0f-f074-4299-a2d0-3059eae3c930,,,2023-09-29,2023-09-29,4.6,2023-09-21,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2023-12-19,False,9d4fb954-7954-435b-98d2-4fa08fd11695,,,2023-12-29,2023-12-29,5.25,2023-12-20,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2024-03-20,False,fe4e7c51-52a5-4d5c-8e93-5c2c3b28e859,,,2024-04-02,2024-04-01,5.25,2024-03-21,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2024-06-24,False,0cc501cc-789c-45ef-841f-f43a4f7e7a3c,,,2024-06-28,2024-06-28,5.25,2024-06-24,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2024-09-19,False,749bb2fe-23d0-484a-8032-25a0f43c2f60,,,2024-09-30,2024-09-30,0.53,2024-09-19,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2024-12-23,False,f02d5c34-a27a-4555-81ca-fa0d47ae3dda,,,2024-12-31,2024-12-31,0.59,2024-12-23,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2025-03-20,False,0dd0201e-858e-40b5-9d8f-b6c52ccbd17c,,,2025-03-31,2025-03-31,0.59,2025-03-20,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2025-06-20,False,49aa48b1-0ec9-431b-8bd1-95fce7397739,,,2025-06-30,2025-06-30,0.59,2025-06-20,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2025-09-22,False,0f107561-0aba-43aa-9cda-841ada53f209,,,2025-09-30,2025-09-30,0.59,2025-09-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2025-12-22,False,116a34dc-ce78-4364-8ebc-ba4da28220d3,,,2025-12-31,2025-12-31,0.65,2025-12-22,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2026-03-23,False,86398b1f-22f3-4497-934d-3c27ad435e37,,,2026-03-31,2026-03-31,0.65,2026-03-23,cash_dividends,False,AVGO
,,,,,,cash_dividend,11135F101,,,2026-06-22,False,fd796a4f-7753-4831-bd5b-b9698955d129,,,2026-06-30,2026-06-30,0.65,2026-06-22,cash_dividends,False,AVGO
,,,,,,forward_split,11135F101,2024-07-15,,2024-07-15,,ab22e5df-2b84-427e-84c7-c0e6e24c4696,10.0,1.0,2024-07-12,2024-07-15,,2024-07-11,forward_splits,,AVGO
928563402,1.0,VMW,11135F101,0.252,AVGO,stock_merger,,,2023-11-22,,,22c8fb40-6cf8-4bbc-8bef-23d4600aaa93,,,2023-11-24,2023-11-22,,,stock_mergers,,
928563402,1.0,VMW,11135F101,0.252,AVGO,stock_merger,,,2023-11-24,,,0fe5e24b-4d66-4b34-8604-9986bb384724,,,2023-11-24,2023-11-24,,,stock_mergers,,
