acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,,,2016-02-18,False,17e7b080-ff03-4964-a482-3fd8eece36e2,,2016-02-18,0.16,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2016-05-03,False,31e92e84-5353-4487-87fe-2d8215b667f2,,2016-05-03,0.16,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2016-08-03,False,60fb05e8-88e7-4901-b39d-3899b90d1ea3,,2016-08-03,0.16,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2016-11-02,False,c4df3e92-340c-4f7c-89c3-6926f6c23aa4,,2016-11-02,0.16,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2017-02-16,False,096c77b0-91bf-43b0-b198-35584ab32536,,2017-02-16,0.16,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2017-05-04,False,0bca59a1-076d-45bf-b889-08652dbceb6f,,2017-05-04,0.17,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2017-08-03,False,ff6ffe9d-b2ff-47fd-8efa-37129a785156,,2017-08-03,0.17,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2017-11-03,False,d6384b23-db0c-4d10-9004-c5bb001e75fa,,2017-11-03,0.17,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2018-02-16,False,854d2e14-cf3c-4917-9daf-c318d39e6364,,2018-02-16,0.17,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2018-05-11,False,b5bf5011-ac83-4e5e-ad17-2048dac57914,,2018-05-11,0.17,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2018-08-03,False,f183f086-920d-42be-bc36-5cca3a77d74f,,2018-08-03,0.17,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2018-11-02,False,a634f1fa-2ecf-4127-a5ca-4bcc6b27f380,,2018-11-02,0.125,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2019-02-08,False,7ff962c5-3a36-4831-a397-5ee2a5cc1edc,,2019-02-08,0.125,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2019-05-10,False,27c802e7-efee-4b9f-bf8c-cf240eb9da90,,2019-05-10,0.125,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2019-08-02,False,f5938807-5f2b-4447-bbb2-68eea9aa57bb,,2019-08-02,0.125,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2019-11-07,False,6cd43a8b-e2a8-4ad9-9db7-6d69c67fb5ef,,2019-11-07,0.125,,cash_dividends,False,KKR
,,,,,,cash_dividend,,,2020-02-07,False,b279e84c-7ccb-4620-98ec-b2f1c7af966d,,2020-02-07,0.125,,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2020-05-15,False,8f62b2f6-71ca-441d-a97d-88655bebf6c6,2020-06-02,2020-06-02,0.135,2020-05-18,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2020-08-14,False,73e4dcb0-74fa-48e4-91f1-48575855115d,2020-09-01,2020-09-01,0.135,2020-08-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2020-11-13,False,68ebbe8c-454f-4511-90d3-39b055d4b516,2020-12-01,2020-12-01,0.135,2020-11-16,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2021-02-19,False,125443c7-e753-4f8e-b9a5-c4575c3ff178,2021-03-09,2021-03-09,0.135,2021-02-22,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2021-05-14,False,362c6195-2e0d-412e-b8a0-1eb0cb814925,2021-06-01,2021-06-01,0.145,2021-05-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2021-08-13,False,d68b8464-8d42-4da5-bd92-62938b28556f,2021-08-31,2021-08-31,0.145,2021-08-16,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2021-11-12,False,b8d22e6c-0ba5-4155-8dc0-0705fa608a6a,2021-11-30,2021-11-30,0.145,2021-11-15,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2022-02-17,False,3415e76c-f1d3-4ce1-8265-dd24cc44fd5e,2022-03-04,2022-03-04,0.145,2022-02-18,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2022-05-13,False,5cd234f7-107e-49de-93eb-d3085c6246ec,2022-05-31,2022-05-31,0.155,2022-05-16,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2022-08-12,False,e55305a2-fabc-40f7-8f39-00d55dcb8082,2022-08-30,2022-08-30,0.155,2022-08-15,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2022-11-10,False,bab23f03-af2c-4783-aba2-fddc1d5415d5,2022-11-29,2022-11-29,0.155,2022-11-14,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2023-02-16,False,e7cad628-115f-443e-a92f-227dd9a7bd28,2023-03-07,2023-03-07,0.155,2023-02-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2023-05-19,False,2229061e-dab0-402a-9442-73712e3418c0,2023-06-06,2023-06-06,0.165,2023-05-22,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2023-08-16,False,351dfec9-b3c2-41ae-b2eb-c27241d97e0e,2023-08-31,2023-08-31,0.165,2023-08-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2023-11-16,False,56bee7c8-22e9-4cea-aaeb-8e7e445487aa,2023-12-01,2023-12-01,0.165,2023-11-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2024-02-15,False,2db4f6cc-3c77-4409-bb31-9c7ecdbd16cf,2024-03-01,2024-03-01,0.165,2024-02-16,cash_dividends,False,KKR
