acquiree_cusip,acquiree_symbol,acquirer_cusip,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,cash_dividend,,,2016-02-10,False,cb89f14f-803e-46cd-9fde-194d9d379e31,,2016-02-10,0.51,,cash_dividends,False,LLY
,,,,cash_dividend,,,2016-05-11,False,f2a600da-9b73-46f4-9554-3ab9590b6a43,,2016-05-11,0.51,,cash_dividends,False,LLY
,,,,cash_dividend,,,2016-08-11,False,abb4920b-5c1e-47b6-bd7d-e9e2cfe62e47,,2016-08-11,0.51,,cash_dividends,False,LLY
,,,,cash_dividend,,,2016-11-10,False,82f5f9e8-6259-4808-a1f2-bbe12fee43dd,,2016-11-10,0.51,,cash_dividends,False,LLY
,,,,cash_dividend,,,2017-02-13,False,25086262-abec-488e-bb76-dde22d300abd,,2017-02-13,0.52,,cash_dividends,False,LLY
,,,,cash_dividend,,,2017-05-11,False,86d99cc0-fde1-4438-bf01-6bdf721c3684,,2017-05-11,0.52,,cash_dividends,False,LLY
,,,,cash_dividend,,,2017-08-11,False,3318d37f-5ef1-4f40-be70-1c2fc198ddda,,2017-08-11,0.52,,cash_dividends,False,LLY
,,,,cash_dividend,,,2017-11-14,False,fac50d2d-619b-4714-b3d4-cb8ad5a375fd,,2017-11-14,0.52,,cash_dividends,False,LLY
,,,,cash_dividend,,,2018-02-14,False,fa1565cf-9239-4529-9de9-a4333b5e0990,,2018-02-14,0.5625,,cash_dividends,False,LLY
,,,,cash_dividend,,,2018-05-16,False,d2d5dc10-2797-4fc6-9dc2-fd6988aa60a2,,2018-05-16,0.5625,,cash_dividends,False,LLY
,,,,cash_dividend,,,2018-08-14,False,cd81e95e-add6-4998-b176-e6e29b11636b,,2018-08-14,0.5625,,cash_dividends,False,LLY
,,,,cash_dividend,,,2018-11-14,False,8eb7bb91-c908-41b7-a169-6283ba87e189,,2018-11-14,0.5625,,cash_dividends,False,LLY
,,,,cash_dividend,,,2019-02-14,False,11e9fd7c-aa6b-4b1d-8e07-e025b1fcefac,,2019-02-14,0.645,,cash_dividends,False,LLY
,,,,cash_dividend,,,2019-05-16,False,f2750b91-cdb5-4322-a2ef-4df50e2ba83a,,2019-05-16,0.645,,cash_dividends,False,LLY
,,,,cash_dividend,,,2019-08-14,False,fb3bed9b-d595-44e7-8c1c-9d4d0c755af1,,2019-08-14,0.645,,cash_dividends,False,LLY
,,,,cash_dividend,,,2019-11-14,False,b60fbf3f-a780-4a8f-86f1-b0cd97359958,,2019-11-14,0.645,,cash_dividends,False,LLY
,,,,cash_dividend,,,2020-02-13,False,e8909a28-4353-4744-bc8f-2cf88286d042,,2020-02-13,0.74,,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2020-05-14,False,cb5840af-13f4-4b0a-919c-0730e1af3dc8,2020-06-10,2020-06-10,0.74,2020-05-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2020-08-13,False,4bcffe89-8301-4b53-bc73-ce7b3903c47c,2020-09-10,2020-09-10,0.74,2020-08-14,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2020-11-12,False,0c19a440-959e-4b06-a0de-4f3c892d5f9e,2020-12-10,2020-12-10,0.74,2020-11-13,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2021-02-11,False,53d9d58a-88ac-42f5-941c-f0d150528ba2,2021-03-10,2021-03-10,0.85,2021-02-12,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2021-05-13,False,6ad6a3c5-02cf-480d-b337-5de6913dcac8,2021-06-10,2021-06-10,0.85,2021-05-14,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2021-08-12,False,7a922008-61e1-4a46-8452-9b8de7ebef48,2021-09-10,2021-09-10,0.85,2021-08-13,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2021-11-12,False,b9a2d8ce-255d-4691-89c0-0a692d8aa822,2021-12-10,2021-12-10,0.85,2021-11-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2022-02-14,False,47fd65a1-486b-4a15-aff0-ca357dfdc6b8,2022-03-10,2022-03-10,0.98,2022-02-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2022-05-13,False,d0ebef9b-fd71-47bd-a68b-4002733a062f,2022-06-10,2022-06-10,0.98,2022-05-16,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2022-08-12,False,0ddb30b8-aa95-46a1-bfa8-07a297bcc127,2022-09-09,2022-09-09,0.98,2022-08-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2022-11-14,False,c0c2a73e-cbfe-4f57-bbb9-c5eef31318fc,2022-12-09,2022-12-09,0.98,2022-11-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2023-02-14,False,cba1c987-9f42-4467-baf4-023bc55e33cb,2023-03-10,2023-03-10,1.13,2023-02-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2023-05-12,False,ad290fe1-f7f4-4e04-95db-e38230c4aa5f,2023-06-09,2023-06-09,1.13,2023-05-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2023-08-14,False,3e6a73b8-2787-423d-aa4c-402afcd6ffca,2023-09-08,2023-09-08,1.13,2023-08-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2023-11-14,False,10becb31-200e-4d66-b2fe-b61b7f50b98b,2023-12-08,2023-12-08,1.13,2023-11-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2024-02-14,False,9a04fd53-a720-4546-b9e6-3d559abace7d,2024-03-08,2024-03-08,1.3,2024-02-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2024-05-15,False,d98b9344-b51a-4cd9-92de-3b0849d73841,2024-06-10,2024-06-10,1.3,2024-05-16,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2024-08-15,False,b4fbf5d2-6877-4433-add5-71a548516945,2024-09-10,2024-09-10,1.3,2024-08-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2024-11-15,False,65ec83a0-fdc8-43a5-a2d5-c79e4d250940,2024-12-10,2024-12-10,1.3,2024-11-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2025-02-14,False,d71aec81-3185-458e-9fee-80ce13892857,2025-03-10,2025-03-10,1.5,2025-02-14,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2025-05-16,False,db35a7f4-851f-4137-af3e-64dcb57c1b9d,2025-06-10,2025-06-10,1.5,2025-05-16,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2025-08-15,False,78b68e99-e93b-4ad1-8194-7bcc1c48dc9f,2025-09-10,2025-09-10,1.5,2025-08-15,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2025-11-14,False,182ae346-caeb-4612-ad09-4678e5519513,2025-12-10,2025-12-10,1.5,2025-11-14,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2026-02-13,False,34ef3d48-063f-4fc5-abf8-b23bcdb96183,2026-03-10,2026-03-10,1.73,2026-02-13,cash_dividends,False,LLY
,,,,cash_dividend,532457108,,2026-05-15,False,9d7d5799-248b-4aac-84b2-f609bb34c3e8,2026-06-10,2026-06-10,1.73,2026-05-15,cash_dividends,False,LLY
