action_type,cusip,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
cash_dividend,,2016-02-24,False,7f53b443-b703-4b9a-acf5-8ba0bf5f7bcf,,2016-02-24,0.1125,,cash_dividends,False,MCS
cash_dividend,,2016-05-23,False,558b51c5-8f4d-4721-8330-f1ee07724798,,2016-05-23,0.1125,,cash_dividends,False,MCS
cash_dividend,,2016-08-23,False,55ea2a04-1ef2-4d7b-9724-be7ec27d755d,,2016-08-23,0.1125,,cash_dividends,False,MCS
cash_dividend,,2016-11-23,False,c5050528-ed0e-4f3f-961a-27a5af1a04d8,,2016-11-23,0.1125,,cash_dividends,False,MCS
cash_dividend,,2017-03-02,False,b6842bca-db31-432d-a12b-85160c9a0aa3,,2017-03-02,0.125,,cash_dividends,False,MCS
cash_dividend,,2017-05-23,False,b904ebbe-3000-4244-a76b-b3530067631d,,2017-05-23,0.125,,cash_dividends,False,MCS
cash_dividend,,2017-08-23,False,33aa71a9-0bae-4427-92e1-5c828bcb5b03,,2017-08-23,0.125,,cash_dividends,False,MCS
cash_dividend,,2017-11-24,False,f58dc3ff-08a3-4619-b3da-fd177fb0af5a,,2017-11-24,0.125,,cash_dividends,False,MCS
cash_dividend,,2018-03-02,False,0e92c7b0-6674-424a-95de-19e11a09a28c,,2018-03-02,0.15,,cash_dividends,False,MCS
cash_dividend,,2018-05-24,False,683c8b52-fd8a-4b86-b99c-fd6721f76f83,,2018-05-24,0.15,,cash_dividends,False,MCS
cash_dividend,,2018-08-24,False,d603c05d-7956-47fb-af93-b91423dc304f,,2018-08-24,0.15,,cash_dividends,False,MCS
cash_dividend,,2018-11-23,False,4fed2ddb-3201-4fd3-b79c-788bfce879a1,,2018-11-23,0.15,,cash_dividends,False,MCS
cash_dividend,,2019-03-01,False,66c6c3f1-4360-4ea7-83fb-9d0c5f935faf,,2019-03-01,0.16,,cash_dividends,False,MCS
cash_dividend,,2019-05-24,False,52b7d24d-44e6-497c-a3fa-ef4557300e29,,2019-05-24,0.16,,cash_dividends,False,MCS
cash_dividend,,2019-08-23,False,9ef7fb46-8265-4f1a-bb52-18b076e401ea,,2019-08-23,0.16,,cash_dividends,False,MCS
cash_dividend,,2019-11-22,False,75946cbe-fd71-4a80-9085-359ec51ac26a,,2019-11-22,0.16,,cash_dividends,False,MCS
cash_dividend,566330106,2020-02-28,False,75f16e29-fa68-4842-8c2c-ea5569e8951a,2020-03-16,2020-03-16,0.17,2020-03-02,cash_dividends,False,MCS
cash_dividend,566330106,2022-08-24,False,a97988fe-2cd6-40a0-8d1a-163655098ed3,2022-09-15,2022-09-15,0.05,2022-08-25,cash_dividends,False,MCS
cash_dividend,566330106,2022-11-23,False,9771bd1a-2e1c-45ed-bf78-3bc75ab26fa6,2022-12-15,2022-12-15,0.05,2022-11-25,cash_dividends,False,MCS
cash_dividend,566330106,2023-03-10,False,bcf2da88-fae4-4cff-bd8c-15f0c5949569,2023-03-20,2023-03-20,0.05,2023-03-13,cash_dividends,False,MCS
cash_dividend,566330106,2023-06-01,False,531f6d65-646f-43a8-bac2-accc00a88f93,2023-06-15,2023-06-15,0.05,2023-06-02,cash_dividends,False,MCS
cash_dividend,566330106,2023-08-24,False,3d129155-ead8-4567-9935-8464b28742df,2023-09-15,2023-09-15,0.07,2023-08-25,cash_dividends,False,MCS
cash_dividend,566330106,2023-11-24,False,166d5a9b-b449-45b6-a0a6-beebc6b88e62,2023-12-15,2023-12-15,0.07,2023-11-27,cash_dividends,False,MCS
cash_dividend,566330106,2024-03-01,False,cd8c6d7f-bbdb-4645-9455-538f02613371,2024-03-15,2024-03-15,0.07,2024-03-04,cash_dividends,False,MCS
cash_dividend,566330106,2024-06-17,False,8f7b3d31-3c22-4566-9650-17dd7c9e2716,2024-06-26,2024-06-26,0.07,2024-06-17,cash_dividends,False,MCS
cash_dividend,566330106,2024-08-26,False,af683e18-6e5e-4f57-8114-8f2f8012507b,2024-09-16,2024-09-16,0.07,2024-08-26,cash_dividends,False,MCS
cash_dividend,566330106,2024-11-25,False,c324ea00-3963-4343-bf58-32b16a92253b,2024-12-16,2024-12-16,0.07,2024-11-25,cash_dividends,False,MCS
cash_dividend,566330106,2025-02-25,False,b1859c3c-70f1-449e-b0de-8d59eaa5a12e,2025-03-17,2025-03-17,0.07,2025-02-25,cash_dividends,False,MCS
cash_dividend,566330106,2025-05-27,False,c258013f-f318-4e3e-9ecf-ae84ad7476aa,2025-06-16,2025-06-16,0.07,2025-05-27,cash_dividends,False,MCS
cash_dividend,566330106,2025-08-25,False,e7e6e89d-cca3-46c8-9849-0d50c5fb77bd,2025-09-15,2025-09-15,0.08,2025-08-25,cash_dividends,False,MCS
cash_dividend,566330106,2025-11-25,False,995aec6d-2a2f-4d45-9f61-3029995c642e,2025-12-15,2025-12-15,0.08,2025-11-25,cash_dividends,False,MCS
cash_dividend,566330106,2026-02-25,False,a39811c4-1666-41de-a14d-afdf3ad89987,2026-03-16,2026-03-16,0.08,2026-02-25,cash_dividends,False,MCS
cash_dividend,566330106,2026-06-01,False,d59286ad-9a66-421b-b28c-d486aa30f2a9,2026-06-15,2026-06-15,0.08,2026-06-01,cash_dividends,False,MCS
cash_dividend,566330106,2026-08-25,False,5f2b6f52-c905-4880-92f3-6e87abcd7129,2026-09-15,2026-09-15,0.09,2026-08-25,cash_dividends,False,MCS
