action_type,cusip,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
cash_dividend,,2016-03-09,False,953d4c31-64f2-40e0-a9a1-c000a9076c34,,2016-03-09,0.0375,,cash_dividends,False,UNF
cash_dividend,,2016-06-08,False,4651a23a-69f9-44ee-bbe0-51596ff02c96,,2016-06-08,0.0375,,cash_dividends,False,UNF
cash_dividend,,2016-09-07,False,fa2fadbd-eb01-4f54-bb9f-016b4d2ed062,,2016-09-07,0.0375,,cash_dividends,False,UNF
cash_dividend,,2016-12-07,False,d9525380-5c04-4795-ae95-68b88e02e509,,2016-12-07,0.0375,,cash_dividends,False,UNF
cash_dividend,,2017-03-08,False,2e6da13f-513a-4849-b204-eb701edb0317,,2017-03-08,0.0375,,cash_dividends,False,UNF
cash_dividend,,2017-06-07,False,931fe2db-fa13-45c7-98a6-5a7da308f667,,2017-06-07,0.0375,,cash_dividends,False,UNF
cash_dividend,,2017-09-07,False,0e7e159c-3e56-41ef-b8c0-14c0b9ec6d9d,,2017-09-07,0.0375,,cash_dividends,False,UNF
cash_dividend,,2017-12-07,False,6f29e502-aef2-40f0-9f61-4b1d60d140f3,,2017-12-07,0.0375,,cash_dividends,False,UNF
cash_dividend,,2018-03-08,False,360bef4c-0c45-423c-8ffd-1accaf0d68fa,,2018-03-08,0.0375,,cash_dividends,False,UNF
cash_dividend,,2018-06-07,False,ebb07bf9-21ee-48fe-b770-868312143e90,,2018-06-07,0.1125,,cash_dividends,False,UNF
cash_dividend,,2018-09-06,False,92e845dc-5ea8-4fd0-8d9e-1cb438adaf6c,,2018-09-06,0.1125,,cash_dividends,False,UNF
cash_dividend,,2018-12-06,False,da573139-3402-405d-86d0-c06a9a99eeb4,,2018-12-06,0.1125,,cash_dividends,False,UNF
cash_dividend,,2019-03-07,False,fcf7d234-447d-48fa-a37b-753545296a05,,2019-03-07,0.1125,,cash_dividends,False,UNF
cash_dividend,,2019-06-06,False,9e819083-9676-4075-8b6c-4bd3c1eefe2d,,2019-06-06,0.1125,,cash_dividends,False,UNF
