action_type,cusip,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
cash_dividend,,2016-02-17,False,9bf1e439-8709-48b4-8903-915b6955709e,,2016-02-17,0.14,,cash_dividends,False,V
cash_dividend,,2016-05-11,False,07c5236f-f29e-43f4-9c1e-c1d6ec148704,,2016-05-11,0.14,,cash_dividends,False,V
cash_dividend,,2016-08-17,False,9cf402e0-8c49-4374-beb0-c477ac952dfa,,2016-08-17,0.14,,cash_dividends,False,V
cash_dividend,,2016-11-16,False,69a8599a-3fd0-459c-96c1-2c43a271f509,,2016-11-16,0.165,,cash_dividends,False,V
cash_dividend,,2017-02-15,False,4dc2ad08-9397-4fc9-9236-eadbc678f909,,2017-02-15,0.165,,cash_dividends,False,V
cash_dividend,,2017-05-17,False,03f6c61b-cdd5-4e61-b1a7-186016fe3b2c,,2017-05-17,0.165,,cash_dividends,False,V
cash_dividend,,2017-08-16,False,5e325e8e-09f4-4acf-86e6-1243c853e64e,,2017-08-16,0.165,,cash_dividends,False,V
cash_dividend,,2017-11-16,False,8469a335-8a5a-4b78-bf16-4e4bc78cedbc,,2017-11-16,0.195,,cash_dividends,False,V
cash_dividend,,2018-02-15,False,402a4e57-7a3e-4800-8505-d266653c4336,,2018-02-15,0.21,,cash_dividends,False,V
cash_dividend,,2018-05-17,False,089f215e-ddb6-4cbe-8da8-d962d0cfe6e9,,2018-05-17,0.21,,cash_dividends,False,V
cash_dividend,,2018-08-16,False,bd807aac-9d94-4697-9586-981013387c12,,2018-08-16,0.21,,cash_dividends,False,V
cash_dividend,,2018-11-15,False,c9ff2fc4-4236-4056-b2f9-f543c93505c7,,2018-11-15,0.25,,cash_dividends,False,V
cash_dividend,,2019-02-14,False,98b22bea-8f72-4d84-b65a-5aa471a590dc,,2019-02-14,0.25,,cash_dividends,False,V
cash_dividend,,2019-05-16,False,ac068bad-be8a-4ae9-81a6-2bfd0742008f,,2019-05-16,0.25,,cash_dividends,False,V
cash_dividend,,2019-08-15,False,61b00a7c-fcd8-4252-82e8-025ed37ad737,,2019-08-15,0.25,,cash_dividends,False,V
cash_dividend,,2019-11-14,False,846093ee-cadb-49f4-8159-fef05f4ccab2,,2019-11-14,0.3,,cash_dividends,False,V
cash_dividend,,2020-02-13,False,9af7fd08-9278-4205-b964-a21ddba7ded5,,2020-02-13,0.3,,cash_dividends,False,V
cash_dividend,92826C839,2020-05-13,False,b70adc4e-dddb-413f-a29b-dac12a5c9477,2020-06-02,2020-06-02,0.3,2020-05-14,cash_dividends,False,V
cash_dividend,92826C839,2020-08-13,False,ef71cfb2-cb4f-453e-acf7-5347756cb881,2020-09-01,2020-09-01,0.3,2020-08-14,cash_dividends,False,V
cash_dividend,92826C839,2020-11-12,False,5f7ddd22-c81e-46b8-8ec4-05693f7bb623,2020-12-01,2020-12-01,0.32,2020-11-13,cash_dividends,False,V
cash_dividend,92826C839,2021-02-11,False,4bb5a1eb-21c5-442a-ab9c-517c204387b4,2021-03-01,2021-03-01,0.32,2021-02-12,cash_dividends,False,V
cash_dividend,92826C839,2021-05-13,False,c3f72c29-41b0-4b58-b6b0-14bc3d03276c,2021-06-01,2021-06-01,0.32,2021-05-14,cash_dividends,False,V
cash_dividend,92826C839,2021-08-12,False,abe8199d-b618-40c3-9234-b27944903d5c,2021-09-01,2021-09-01,0.32,2021-08-13,cash_dividends,False,V
cash_dividend,92826C839,2021-11-10,False,b23a0d58-d95d-4d7c-8b2e-bfd7cd78fe6c,2021-12-07,2021-12-07,0.375,2021-11-12,cash_dividends,False,V
cash_dividend,92826C839,2022-02-10,False,593e67ec-1c10-41ad-a05c-c6258c3c7430,2022-03-01,2022-03-01,0.375,2022-02-11,cash_dividends,False,V
cash_dividend,92826C839,2022-05-12,False,00014792-d1a1-4775-a679-982340efb684,2022-06-01,2022-06-01,0.375,2022-05-13,cash_dividends,False,V
cash_dividend,92826C839,2022-08-11,False,2cda8736-64ef-4d19-a41c-c5302e560d62,2022-09-01,2022-09-01,0.375,2022-08-12,cash_dividends,False,V
cash_dividend,92826C839,2022-11-09,False,da0926bc-d34b-47bf-a2ce-041578fae9c3,2022-12-01,2022-12-01,0.45,2022-11-11,cash_dividends,False,V
cash_dividend,92826C839,2023-02-09,False,e249bdce-9c66-4782-b871-f5167968ed58,2023-03-01,2023-03-01,0.45,2023-02-10,cash_dividends,False,V
cash_dividend,92826C839,2023-05-11,False,8facd35c-a85b-4673-b12f-9e347a6191ed,2023-06-01,2023-06-01,0.45,2023-05-12,cash_dividends,False,V
cash_dividend,92826C839,2023-08-10,False,ed3d1afe-6a1b-4c0d-9fd7-5d9a2041178e,2023-09-01,2023-09-01,0.45,2023-08-11,cash_dividends,False,V
cash_dividend,92826C839,2023-11-08,False,075cc45e-06a4-4c27-89c9-0d6ee40b59b3,2023-12-01,2023-12-01,0.52,2023-11-09,cash_dividends,False,V
cash_dividend,92826C839,2024-02-08,False,96124f28-1781-4b13-90b5-cb03678a7635,2024-03-01,2024-03-01,0.52,2024-02-09,cash_dividends,False,V
cash_dividend,92826C839,2024-05-16,False,cd410406-e78a-4a4b-935f-da3715c9ea5f,2024-06-03,2024-06-03,0.52,2024-05-17,cash_dividends,False,V
cash_dividend,92826C839,2024-08-09,False,3dcb6277-6a9a-4757-b936-621c55271b33,2024-09-03,2024-09-03,0.52,2024-08-09,cash_dividends,False,V
cash_dividend,92826C839,2024-11-12,False,4f6d187b-dac8-4b1e-9755-5287e7ecde43,2024-12-02,2024-12-02,0.59,2024-11-12,cash_dividends,False,V
cash_dividend,92826C839,2025-02-11,False,ae568951-0cfe-4c0e-9853-54542dc0cc85,2025-03-03,2025-03-03,0.59,2025-02-11,cash_dividends,False,V
cash_dividend,92826C839,2025-05-13,False,50a91a1d-e410-45a4-bc05-1736a15d3338,2025-06-02,2025-06-02,0.59,2025-05-13,cash_dividends,False,V
cash_dividend,92826C839,2025-08-12,False,9debebda-d244-47f9-8fe9-d6db79ab2b84,2025-09-02,2025-09-02,0.59,2025-08-12,cash_dividends,False,V
cash_dividend,92826C839,2025-11-12,False,c2ec0679-e1fb-422b-bfc7-4c32700a0f04,2025-12-01,2025-12-01,0.67,2025-11-12,cash_dividends,False,V
cash_dividend,92826C839,2026-02-10,False,dae5ddc2-363a-4fcb-b2a8-85838ea92357,2026-03-02,2026-03-02,0.67,2026-02-10,cash_dividends,False,V
cash_dividend,92826C839,2026-05-12,False,03cd45db-742b-4e86-9dd3-068a77d20edb,2026-06-01,2026-06-01,0.67,2026-05-12,cash_dividends,False,V
cash_dividend,92826C839,2026-08-11,False,561a9165-7294-4b9a-be2e-1aad99ba43d4,2026-09-01,2026-09-01,0.67,2026-08-11,cash_dividends,False,V
