acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,new_cusip,new_symbol,old_cusip,old_symbol,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,,,2016-02-09,False,26fb4795-58ac-42b4-a502-1d7e379d96de,,,,,,2016-02-09,0.73,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2016-05-11,False,3c3b7cfb-2470-4e33-8fc8-549533a54621,,,,,,2016-05-11,0.75,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2016-08-10,False,f21e03fd-b760-4c07-bb94-9e49af5d46a6,,,,,,2016-08-10,0.75,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2016-11-08,False,83021ee0-1b84-49c2-8092-ece1ab207075,,,,,,2016-11-08,0.75,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2017-02-08,False,40366746-d09f-4c56-a66f-43db2c362f00,,,,,,2017-02-08,0.75,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2017-05-10,False,1043f948-f019-4af3-be7a-850e95631571,,,,,,2017-05-10,0.77,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2017-08-10,False,03cad3f2-4ce7-4ac0-b528-679aeaee613f,,,,,,2017-08-10,0.77,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2017-11-10,False,b279c89e-eb56-4c5f-ab29-c39c281bc105,,,,,,2017-11-10,0.77,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2018-02-09,False,e948783c-eca6-4d2a-a8a4-304861a95238,,,,,,2018-02-09,0.77,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2018-05-11,False,d2af15cf-3bc1-43f6-b630-94afcde3ec05,,,,,,2018-05-11,0.82,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2018-08-10,False,d92dc873-6b72-42c4-b817-4923e78057ca,,,,,,2018-08-10,0.82,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2018-11-09,False,5f31cdf8-bb1b-4eff-9c15-f738e1c488ba,,,,,,2018-11-09,0.82,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2019-02-08,False,520149fc-3186-4043-9bd9-3959a7da4b30,,,,,,2019-02-08,0.82,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2019-05-10,False,e24d820e-651f-4793-9076-9cb2bcce6164,,,,,,2019-05-10,0.87,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2019-08-12,False,6737937d-ef87-4521-b3ed-3e1d3d6498b5,,,,,,2019-08-12,0.87,,cash_dividends,False,XOM
,,,,,,cash_dividend,,,2019-11-08,False,e713af28-8821-4d46-a990-b9123c6285f2,,,,,,2019-11-08,0.87,,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2020-02-10,False,f0321f6a-9a6d-46b9-aabe-42cc824e7b66,,,,,2020-03-10,2020-03-10,0.87,2020-02-11,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2020-05-12,False,02cbff79-b047-4ded-84e1-f8fb8100cf25,,,,,2020-06-10,2020-06-10,0.87,2020-05-13,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2020-08-12,False,decbf1dd-d266-42ee-b8a1-807f07c8226a,,,,,2020-09-10,2020-09-10,0.87,2020-08-13,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2020-11-10,False,47657605-33ad-4fde-9c7e-8ab512784850,,,,,2020-12-10,2020-12-10,0.87,2020-11-12,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2021-02-09,False,14cfb608-4c85-436b-ab54-152a4a4f4741,,,,,2021-03-10,2021-03-10,0.87,2021-02-10,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2021-05-12,False,6038d956-7fb4-40a5-b563-aadcf59c5ef7,,,,,2021-06-10,2021-06-10,0.87,2021-05-13,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2021-08-12,False,3a5aca8f-21cb-43c4-b662-c6bd0a5fe8fb,,,,,2021-09-10,2021-09-10,0.87,2021-08-13,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2021-11-10,False,1429c08c-ebae-4558-b2b5-92294b2e599a,,,,,2021-12-10,2021-12-10,0.88,2021-11-12,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2022-02-09,False,8134ee3a-1005-491d-ab91-5dcb86c89b81,,,,,2022-03-10,2022-03-10,0.88,2022-02-10,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2022-05-12,False,24f7eb06-f0f5-4299-9b28-eb798080debb,,,,,2022-06-10,2022-06-10,0.88,2022-05-13,cash_dividends,False,XOM
